"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
29,"NCT04298814","Safety Related Factors of Endotracheal Intubation in Patients With Severe Covid-19 Pneumonia",,"Not yet recruiting","No Results Available","COVID-19|Endotracheal Intubation","Other: severe covid-19 pneumonia with ET","Success rate of intubation|Infection rate of Anesthesiologist|Extubation time","Tongji Hospital","All","18 Years to 90 Years ? (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","COVEI","March 7, 2020","May 30, 2020","July 30, 2020","March 6, 2020",,"March 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04298814"
30,"NCT04252118","Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With 2019 Novel Coronavirus",,"Recruiting","No Results Available","2019 Novel Coronavirus Pneumonia","Biological: MSCs","Size of lesion area by chest radiograph or CT|Side effects in the MSCs treatment group|Improvement of Clinical symptoms including duration of fever and respiratory|Time of nucleic acid turning negative|Rate of mortality within 28-days|CD4+ and CD8+ T celll count|Alanine aminotransferase|C-reactive protein|Creatine kinase","Beijing 302 Hospital|Innovative Precision Medicine Group (IPM), Hangzhou, China.|Wuhan Huoshenshan Hospital, Wuhan, China|Tianjin Haihe Hospital|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China|Shenzhen Third People's Hospital|Fifth Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 70 Years ? (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020003D","January 27, 2020","December 2020","December 2021","February 5, 2020",,"February 26, 2020","Beijing 302 Military Hospital of China, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04252118"
31,"NCT04278963","Yinhu Qingwen Decoction for the Treatment of Mild / Common CoVID-19",,"Active, not recruiting","No Results Available","CoVID-19|Chinese Medicine","Drug: YinHu QingWen Decoction|Drug: YinHu QingWen Decoction (low dose)|Other: Chinese medicine treatment|Other: standard western medicine treatment","Mean clinical recovery time (hours)|Time to CoVID-19 RT-PCR negative in upper respiratory tract specimen|Change (reduction) in CoVID-19 viral load in upper respiratory tract specimen as assessed by area under viral load curve.|Time to defervescence (in those with fever at enrolment)|Time to cough reported as mild or absent (in those with cough at enrolment rated severe or moderate)|Time to dyspnea reported as mild or absent (on a scale of severe, moderate, mild absent, in those with dyspnea at enrollment rated as severe or moderate)|Frequency of requirement for supplemental oxygen or non-invasive ventilation|Frequency of respiratory progression|Severe case incidence|Proportion of re-hospitalization or admission to ICU|All-cause mortality|Frequency of serious adverse events","China Academy of Chinese Medical Sciences","All","18 Years and older ? (Adult, Older Adult)","Phase 2|Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","YHQW-V2.0","February 27, 2020","January 2021","January 2021","February 20, 2020",,"March 3, 2020","Jingzhou Hospital of Traditional Chinese Medicine, Jingzhou, Hu Bei, China|Xiangyang Hospital of Traditional Chinese Medicine, Xiangyang, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04278963"
32,"NCT04292964","Prognostic Factors of Patients With COVID-19",,"Recruiting","No Results Available","Coronary Disease|SARS-CoV-2|Outcome, Fatal",,"all-cause mortality|Severe state","Chongqing Medical University","All","18 Years and older ? (Adult, Older Adult)",,"98","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020-02-2","March 1, 2020","March 30, 2020","April 30, 2020","March 3, 2020",,"March 4, 2020","The First Affiliated Hospital of Chongqing Medical University, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT04292964"
33,"NCT04260594","Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Arbidol|Other: basic treatment","Virus negative conversion rate in the first week|Virus negative conversion rate|Antipyretic rate|Symptom relief time|Finger oxygen improvement rate|Disease progression rate|Mortality rate|Incidence of severe adverse reactions|Change curve of peripheral blood lymphocyte count","Jieming QU|Ruijin Hospital","All","18 Years to 75 Years ? (Adult, Older Adult)","Phase 4","380","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Abdrcspc202001","February 7, 2020","July 1, 2020","December 30, 2020","February 7, 2020",,"February 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04260594"
34,"NCT04291729","Evaluation of Ganovo ÅiDanoprevir Åj Combined With Ritonavir in the Treatment of Novel Coronavirus Infection",,"Recruiting","No Results Available","2019-nCoV Pneumonia","Drug: Ganovo+ritonavir+/-Interferon atomization|Drug: Long acting interferon|Drug: Recombinant cytokine gene-derived protein|Drug: Lopinavir+ritonavir|Drug: Chinese medicines +interferon atomization","Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event","The Ninth Hospital of Nanchang|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years ? (Adult, Older Adult)","Phase 4","50","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC-CTP-NC-01","February 17, 2020","March 31, 2020","April 30, 2020","March 2, 2020",,"March 6, 2020","The Ninth Hospital of Nanchang, Nanchang, Jiangxi, China",,"https://ClinicalTrials.gov/show/NCT04291729"
35,"NCT04257656","Severe 2019-nCoV Remdesivir RCT",,"Recruiting","No Results Available","2019-nCov|Remdesivir","Drug: Remdesivir|Drug: Remdesivir placebo","Time to Clinical Improvement (TTCI) [Censored at Day 28]|Clinical status|Time to Hospital Discharge OR NEWS2 (National Early Warning Score 2) of ? 2 maintained for 24 hours.|All cause mortality|Duration (days) of mechanical ventilation|Duration (days) of extracorporeal membrane oxygenation|Duration (days) of supplemental oxygenation|Length of hospital stay (days)|Time to 2019-nCoV RT-PCR negativity in upper and lower respiratory tract specimens|Change (reduction) in 2019-nCoV viral load in upper and lower respiratory tract specimens as assessed by area under viral load curve.|Frequency of serious adverse drug events","Capital Medical University","All","18 Years and older ? (Adult, Older Adult)","Phase 3","453","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CAP-China remdesivir 2","February 6, 2020","April 3, 2020","May 1, 2020","February 6, 2020",,"February 24, 2020","Bin Cao, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04257656"
36,"NCT04285190","The Effect of T89 on Improving Oxygen Saturation and Clinical Symptoms in Patients With COVID-19",,"Not yet recruiting","No Results Available","Coronavirus Disease 2019|Novel Coronavirus Pneumonia","Drug: T89","The time to oxygen saturation recovery to normal level (?97%)|The proportion of patients with normal level of oxygen saturation(?97%)|The degree of remission of symptoms of patients, including: fatigue, nausea, vomiting, chest tightness, shortness of breath, etc.|The time to the myocardial enzyme spectrum recovery to normal after treatment|The proportion of the patients with normal myocardial enzyme spectrum after treatment|The time to the electrocardiogram recovery to normal level after treatment|The proportion of the patients with normal electrocardiogram after treatment|The time to the hemodynamics recovery to normal after treatment|The proportion of the patients with normal hemodynamics after treatment|The time to exacerbation or remission of the disease after treatment;|The proportion of the patients with exacerbation or remission of disease after treatment|The proportion of patients who need other treatment (e.g. heparin, anticoagulants) due to microcirculation disorders|The all-cause mortality rate|The proportion of patients with acidosis|The total duration of the patients in-hospital|The total duration of oxygen inhalation during treatment|The oxygen flow rate during treatment|The oxygen concentration during treatment","Tasly Pharmaceuticals, Inc.","All","18 Years to 85 Years ? (Adult, Older Adult)","Not Applicable","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","T89-NCP-01","February 26, 2020","June 15, 2020","September 15, 2020","February 26, 2020",,"February 26, 2020",,,"https://ClinicalTrials.gov/show/NCT04285190"
37,"NCT04295551","Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe)",,"Not yet recruiting","No Results Available","COVID-19","Drug: Lopinavir / ritonavir tablets combined with Xiyanping injection|Drug: Lopinavir/ritonavir treatment","Clinical recovery time","Jiangxi Qingfeng Pharmaceutical Co. Ltd.","All","18 Years to 100 Years ? (Adult, Older Adult)","Not Applicable","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QF-XYP1990-1","March 14, 2020","July 14, 2020","April 14, 2021","March 4, 2020",,"March 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04295551"
38,"NCT04261907","Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Novel Coronavirus Infection",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: ASC09/ritonavir group|Drug: lopinavir/ritonavir group","The incidence of composite adverse outcome|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requring supplemental oxygen|Rate of undectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Time and rate of laboratory indicators related to disease improvement to return to normal","First Affiliated Hospital of Zhejiang University|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years ? (Adult, Older Adult)","Not Applicable","160","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC09F-CTP-ZY-01","February 7, 2020","May 31, 2020","June 30, 2020","February 10, 2020",,"February 10, 2020",,,"https://ClinicalTrials.gov/show/NCT04261907"
39,"NCT04292340","Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of COVID-19",,"Recruiting","No Results Available","Coronavirus",,"The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 1|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 3|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 7|Numbers of participants with different Clinical outcomes|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0","Shanghai Public Health Clinical Center","All","Child, Adult, Older Adult",,"15","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Anti-SARS-CoV-2","February 1, 2020","July 31, 2020","December 31, 2020","March 3, 2020",,"March 3, 2020","Shanghai Public Health Clinical Center, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04292340"
40,"NCT04273646","Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Novel Coronavirus Severe Pneumonia",,"Not yet recruiting","No Results Available","2019 Novel Coronavirus Pneumonia|COVID-19","Biological: UC-MSCs|Drug: Placebo","Pneumonia severity index|Oxygenation index (PaO2/FiO2)|Side effects in the UC-MSCs treatment group|28-days survival|Sequential organ failure assessment|C-reactive protein|Procalcitonin|Lymphocyte count|CD3+, CD4+ and CD8+ T celll count|CD4+/CD8+ratio","Wuhan Union Hospital, China|Wuhan Hamilton Bio-technology Co., Ltd, China.","All","18 Years to 65 Years ? (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","202001","February 16, 2020","June 30, 2020","February 15, 2022","February 18, 2020",,"February 21, 2020","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04273646"
41,"NCT04275414","Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia","BEST-CP","Recruiting","No Results Available","Coronavirus Infections","Drug: Bevacizumab Injection","Partial arterial oxygen pressure (PaO2) to fraction of inspiration O2 (FiO2) ratio|Degree of dyspnea (Liker scale)|Degree of dyspnea (VAS)|The area of lung lesions on Chest CT|The degree of lung exudation on Chest CT|SpO2|PaO2|CRP|hs-CRP|All-cause mortality","Qilu Hospital of Shandong University","All","18 Years to 80 Years ? (Adult, Older Adult)","Phase 2|Phase 3","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QLEmer20200214","February 2020","April 2020","May 2020","February 19, 2020",,"February 19, 2020","Qilu Hospital of Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT04275414"
42,"NCT04264533","Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia",,"Not yet recruiting","No Results Available","Vitamin C|Pneumonia, Viral|Pneumonia, Ventilator-Associated","Drug: Vit C|Drug: Water for infusion","Ventilation-free days|28-days mortality|ICU length of stay|Demand for first aid measuments|Vasopressor days|Respiratory indexes|Ventilator parameters|APACHE II scores|SOFA scores","ZhiYong Peng|Zhongnan Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 2","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","2020001","February 10, 2020","September 30, 2020","September 30, 2020","February 11, 2020",,"February 11, 2020","Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04264533"
43,"NCT04256395","Efficacy of a Self-test and Self-alert Mobile Applet in Detecting Susceptible Infection of COVID-19","COVID-19","Recruiting","No Results Available","Susceptibility to Viral and Mycobacterial Infection","Other: mobile internet survey on self-test","positive number diagnosed by national guideline in the evaluated population|distribution map of evaluated people|Effect of medical guidance by designated feedback questionnaire|mental scale of relief the mental anxiety and avoid unnecessary outpatient","Beijing Tsinghua Chang Gung Hospital|Institute for precision medicine of Tsinghua University|Institute for artificial intelligent of Tsinghua University|Chinese Medical Doctor Association|Institute for network behavior of Tsinghua University|school of clinical medicine of Tsinghua University","All","Child, Adult, Older Adult",,"300000","Other","Observational","Observational Model: Other|Time Perspective: Prospective","RWS-BTCH-002","February 1, 2020","July 31, 2020","July 31, 2020","February 5, 2020",,"February 20, 2020","Beijing Tsinghua Changgung Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04256395"
44,"NCT04283461","Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) to Prevent SARS-CoV-2 Infection",,"Not yet recruiting","No Results Available","Corona Virus Infection","Biological: mRNA-1273","Frequency of solicited local reactogenicity adverse events (AEs)|Frequency of any medically-attended adverse events (MAAEs)|Frequency of any new-onset chronic medical conditions (NOCMCs)|Frequency of any serious adverse events (SAEs)|Frequency of any unsolicited adverse events (AEs)|Frequency of solicited systemic reactogenicity adverse events (AEs)|Grade of any unsolicited adverse events (AEs)|Grade of solicited local reactogenicity adverse events (AEs)|Grade of solicited systemic reactogenicity adverse events (AEs)|Geometric mean fold rise (GMFR) in IgG titer from baseline|Geometric mean titer (GMT) of antibody|Percentage of subjects who seroconverted","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 55 Years ? (Adult)","Phase 1","45","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","20-0003|1UM1AI148373-01","March 19, 2020","June 1, 2021","June 1, 2021","February 25, 2020",,"March 5, 2020","Kaiser Permanente Washington Health Research Institute - Vaccines and Infectious Diseases, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04283461"
45,"NCT04292327","Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus","2019-nCoV","Active, not recruiting","No Results Available","Pneumonia Caused by Human Coronavirus",,"Mortality|The time interval of Nucleic acid detection become negative","Fujian Provincial Hospital","All","18 Years to 75 Years ? (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","KY-2020-24.01","January 1, 2020","April 30, 2020","July 31, 2020","March 3, 2020",,"March 3, 2020","Fujian Provincial Hospital, Fuzhou, Fujian, China",,"https://ClinicalTrials.gov/show/NCT04292327"
46,"NCT04280705","Adaptive COVID-19 Treatment Trial",,"Recruiting","No Results Available","Corona Virus Infection","Other: Placebo|Drug: Remdesivir","Percentage of subjects reporting each severity rating on the 7-point ordinal scale|Change from baseline in alanine transaminase (ALT)|Change from baseline in aspartate transaminase (AST)|Change from baseline in creatinine|Change from baseline in glucose|Change from baseline in hemoglobin|Change from baseline in platelets|Change from baseline in total bilirubin|Change from baseline in white blood cell count|Change in National Early Warning Score (NEWS) from baseline|Cumulative incidence of serious adverse events (SAEs)|Cumulative incidence of severe adverse events (AEs)|Discontinuation temporary suspension of infusions|Duration of hospitalization|Duration of new mechanical ventilation|Duration of new oxygen use|Incidence of new mechanical ventilation|Incidence of new oxygen use|Mean change in the ordinal scale from baseline|Number of oxygenation free days|Number of ventilator free days|Subject clinical status using ordinal scale|Subject mortality|Time to an improvement of one category from admission using an ordinal scale|Time to discharge or to a National Early Warning Score (NEWS) of </= 2 and maintained for 24 hours, whichever occurs first","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 99 Years ? (Adult, Older Adult)","Phase 2","394","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20-0006","February 21, 2020","April 1, 2023","April 1, 2023","February 21, 2020",,"March 6, 2020","National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04280705"
47,"NCT04245631","Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV",,"Recruiting","No Results Available","New Coronavirus","Diagnostic Test: Recombinase aided amplification (RAA) assay","Detection sensitivity is greater than 95%|Detection specificity is greater than 95%|Consistent with existing universal reagent detection rates greater than 95%","Beijing Ditan Hospital","All","1 Year to 90 Years ? (Child, Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DTXY022","January 1, 2020","December 31, 2020","December 31, 2020","January 29, 2020",,"January 29, 2020","Department of Hepatology Division 2, Beijing Ditan Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04245631"
48,"NCT04279795","Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations",,"Recruiting","No Results Available","Coronavirus",,"Positive rate of 2019 Novel Coronavirus RNA|Survival rate","Third Affiliated Hospital, Sun Yat-Sen University","All","Child, Adult, Older Adult",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PL11","January 20, 2020","January 31, 2021","February 28, 2021","February 21, 2020",,"February 21, 2020","The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04279795"
49,"NCT04269525","Umbilical Cord(UC)-Derived Mesenchymal Stem Cells(MSCs) Treatment for the 2019-novel Coronavirus(nCOV) Pneumonia",,"Recruiting","No Results Available","Pneumonia, Viral|Pneumonia, Ventilator-Associated","Biological: UC-MSCs","Oxygenation index|28 day mortality|Hospital stay|2019-nCoV nucleic acid test|Improvement of lung imaging examinations|White blood cell count|Lymphocyte count|Lymphocyte percentage|Procalcitonin|interleukin(IL)-2|IL-4|IL-6|IL-8|IL-10|tumor necrosis factor(TNF)-Éø|É¡-interferon(IFN)","ZhiYong Peng|Tuohua Biological Technology Co. Ltd|Zhongnan Hospital","All","18 Years to 75 Years ? (Adult, Older Adult)","Phase 2","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2020002","February 6, 2020","April 30, 2020","September 30, 2020","February 13, 2020",,"February 17, 2020","Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04269525"
50,"NCT04279782","Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection",,"Recruiting","No Results Available","Coronavirus","Other: Comprehensive treatment","Survival rate|Chest computed tomography|Recovery Time|Depression evaluation","Third Affiliated Hospital, Sun Yat-Sen University","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","XWX3","January 20, 2020","January 31, 2021","February 28, 2021","February 21, 2020",,"February 24, 2020","The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04279782"
51,"NCT04255940","2019-nCoV Outbreak and Cardiovascular Diseases",,"Recruiting","No Results Available","Cardiovascular Death; Major Adverse Cardiovascular Events",,"Cardiovascular Death|Major Adverse Cardiovascular Events|Times From symptom onset to hospital arrival|Anxiety","Qilu Hospital of Shandong University","All","Child, Adult, Older Adult",,"12000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2019nCoV-CVD","January 20, 2020","April 30, 2020","April 30, 2020","February 5, 2020",,"February 5, 2020","Affiliated Hospital of Binzhou Medical Universty, Binzhou, Shandong, China|Heze Municipal Hospital, Heze, Shandong, China|Shandong University Qilu Hospital, Jinan, Shandong, China|Jinan Central Hospital, Shandong University, Jinan, Shandong, China|First Hospital Affiliated with Shandong First Medical University, Jinan, Shandong, China|Shandong Provincial Hospital, Shandong University, Jinan, Shandong, China|The Second Hospital of Shandong University, Jinan, Shandong, China|Jining Hospital of Traditional Chinese Medicine, Jining, Shandong, China|Qihe People's Hospital, Qihe, Shandong, China|Affiliated Hospital of Qingdao University Medical College, Qingdao, Shandong, China|Weihai Municipal Hospital, Weihai, Shandong, China|Central Hospital of Zibo, Zibo, Shandong, China",,"https://ClinicalTrials.gov/show/NCT04255940"
52,"NCT04290780","Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus","NOSO-COR","Not yet recruiting","No Results Available","Infection Viral","Other: nosocomial infection/hospital acquired infection","nosocomial infection","Hospices Civils de Lyon","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","69HCL20_0214","March 10, 2020","October 10, 2020","October 30, 2020","March 2, 2020",,"March 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04290780"
53,"NCT04290858","Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection","NoCovid","Not yet recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral|Dyspnea","Drug: Nitric Oxide","Reduction in the proportion of early stage patients|Mortality|Time to negative conversion of COVID-19 RT-PCR from upper respiratory tract|Time to clinical recovery","Xijing Hospital|Massachusetts General Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","All","18 Years and older ? (Adult, Older Adult)","Phase 2","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","COVID19 NOgas mild","March 1, 2020","March 1, 2021","February 1, 2022","March 2, 2020",,"March 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04290858"
54,"NCT04296643","Medical Masks vs N95 Respirators for COVID-19",,"Not yet recruiting","No Results Available","Coronavirus|N95|Medical Mask","Device: Medical Mask|Device: N95 respirator","RT-PCR confirmed COVID-19 infection|Acute respiratory illness|Absenteeism|Lower respiratory infection|Pneumonia|ICU admission|Mechanical ventilation|Death","McMaster University|Vancouver Coastal Health|University of Alberta|Dalhousie University","All","18 Years and older ? (Adult, Older Adult)","Not Applicable","576","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","20006014","April 1, 2020","December 1, 2020","January 1, 2021","March 5, 2020",,"March 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04296643"
55,"NCT04279899","The Investigation of the Neonates With or With Risk of COVID-19",,"Recruiting","No Results Available","Neonatal Infection|Perinatal Problems|Infectious Disease",,"The death of newborns with COVID-19|The SARS-CoV-2 infection of neonates born to mothers with COVID-19|The Chinese standardized Denver Developmental Screening Test (DDST) in neonates with or with risk of COVID-19|The small for gestational age newborns in the neonates born to mothers with COVID-19|The preterm delivery of neonates born to mothers with COVID-19|The disease severity of neonates with COVID-19","Children's Hospital of Fudan University","All","up to 28 Days ? (Child)",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","CHFudanU_NNICU14","February 1, 2020","November 30, 2020","December 31, 2020","February 21, 2020",,"February 21, 2020","Maternal and Child Health Hospital of Hubei Province, Wuhan, Hubei, China|Children Hospital of Fudan University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04279899"
56,"NCT04290871","Nitric Oxide Gas Inhalation for Severe Acute Respiratory Syndrome in COVID-19.","NOSARSCOVID","Not yet recruiting","No Results Available","Coronavirus|SARS (Severe Acute Respiratory Syndrome)","Drug: Nitric Oxide Gas","SARS-free patients at 14 days|Survival at 28 days|Survival at 90 days|SARS-free days at 28 days|SARS -free days at 90 days|Renal Replacement Therapy|Liver Failure|Mechanical Support of Circulation|PaO2/FiO2 ratio in ambient air","Xijing Hospital|Massachusetts General Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","All","18 Years and older ? (Adult, Older Adult)","Phase 2","104","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","NO-SARS-COVID-19","March 1, 2020","March 1, 2021","March 1, 2022","March 2, 2020",,"March 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04290871"
57,"NCT04259892","Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection","Cov-CONTACT","Recruiting","No Results Available","Coronavirus","Biological: 2019-nCoV PCR","Number of Participants with presence of 2019-nCoV in at least one of nasopharyngeal swab|For each participant, time (days) between the last contact with the laboratory-confirmed 2019-nCoV case and the first positive PCR|For each participant, time (days) between the first positive PCR and the first negative PCR|Number of Participants with presence of at least one of the following symptoms: fever > 38ÅãC, asthenia/fatigue/malaise, headache, thrills/sweating, myalgia/aches, cough, dyspnea, Acute Respiratory Distress Syndrome, diarrhe|Number of Participants with positive serology in the 90 days following last contact","Institut National de la Sante Et de la Recherche Medicale, France","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","C20-06|2020-A00280-39","February 4, 2020","October 4, 2020","February 4, 2021","February 7, 2020",,"February 17, 2020","CIC 1425, Paris, France",,"https://ClinicalTrials.gov/show/NCT04259892"
58,"NCT04252274","Efficacy and Safety of Darunavir and Cobicistat for Treatment of Pneumonia Caused by 2019-nCoV","DACO-nCoV","Recruiting","No Results Available","Pneumonia, Pneumocystis|Coronavirus","Drug: Darunavir and Cobicistat","The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 7|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 3|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 5|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|The critical illness rate of subjects at weeks 2|The mortality rate of subjects at weeks 2","Shanghai Public Health Clinical Center","All","Child, Adult, Older Adult","Phase 3","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DACO-nCoV","January 30, 2020","August 31, 2020","December 31, 2020","February 5, 2020",,"March 4, 2020","Shanghai Public Health Clinical Center, Shanghai, Shanghai, China|Shanghai Public Health Clinical Center, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04252274"
